ITEM1;ITEM2;ITEM3;ITEM4;ITEM5;ITEM6;ITEM7;ITEM8;ITEM9;ITEM10;ITEM11
Pan;Mermelada;Queso;Te en bolsa;Mantequilla;Jamon;Cafe Instantaneo;Azucar;;;
Leche;Jamon;Pan;Yogur;Te en bolsa;Dulce de leche;Cafe Instantaneo;;;;
Yogur;Dulce de leche;Jamon;Pan;Mantequilla;Queso;Te en bolsa;Azucar;;;
Pan Molde;Mantequilla;Dulce de leche;;;;;;;;
Queso;Leche;Mantequilla;Te en bolsa;Pan Molde;Mermelada;Cafe Instantaneo;Pan;;;
Jamon;Pan;Mantequilla;Dulce de leche;;;;;;;
Queso;Pan Molde;Pan;Yogur;Te en bolsa;Mermelada;;;;;
Mantequilla;Jamon;;;;;;;;;
Mermelada;Te en bolsa;Mantequilla;;;;;;;;
Pan Molde;Yogur;Pan;;;;;;;;
Dulce de leche;Queso;Mermelada;Pan Molde;Yogur;;;;;;
Cafe Instantaneo;Mermelada;Jamon;Dulce de leche;Azucar;Mantequilla;;;;;
Pan Molde;Te en bolsa;Cafe Instantaneo;Yogur;Mermelada;;;;;;
Cafe Instantaneo;Te en bolsa;Leche;Jamon;;;;;;;
Dulce de leche;Mantequilla;Cafe Instantaneo;Mermelada;Queso;Pan;;;;;
Yogur;Pan Molde;Leche;Mermelada;Pan;Azucar;Queso;;;;
Jamon;Mermelada;Yogur;Leche;Te en bolsa;Pan Molde;Azucar;;;;
Pan Molde;Jamon;Queso;Yogur;Azucar;;;;;;
Pan Molde;Azucar;Leche;Te en bolsa;Queso;Mantequilla;;;;;
Azucar;Queso;Pan Molde;;;;;;;;
Mermelada;Te en bolsa;Yogur;Leche;Azucar;Queso;Jamon;;;;
Leche;Jamon;Pan Molde;Queso;Mantequilla;;;;;;
Leche;Azucar;Queso;Yogur;Mermelada;Cafe Instantaneo;Mantequilla;Pan Molde;;;
Cafe Instantaneo;Pan;Azucar;Queso;Jamon;;;;;;
Mermelada;Jamon;Queso;;;;;;;;
Azucar;Yogur;Cafe Instantaneo;Queso;Pan Molde;Mantequilla;Jamon;Dulce de leche;;;
Pan;Jamon;Leche;Te en bolsa;Mantequilla;Yogur;Dulce de leche;Cafe Instantaneo;;;
Queso;Pan Molde;Yogur;Azucar;Te en bolsa;Cafe Instantaneo;;;;;
Mantequilla;Pan Molde;Cafe Instantaneo;Jamon;Yogur;;;;;;
Yogur;Queso;Pan;Leche;Dulce de leche;;;;;;
Pan;Pan Molde;Mantequilla;Te en bolsa;Mermelada;;;;;;
Mermelada;Mantequilla;Dulce de leche;Queso;Leche;Te en bolsa;Yogur;Cafe Instantaneo;;;
Mermelada;Queso;Yogur;Pan Molde;Azucar;Cafe Instantaneo;Te en bolsa;;;;
Leche;Mantequilla;Dulce de leche;Pan;Azucar;Yogur;;;;;
Dulce de leche;Te en bolsa;Mantequilla;Pan;Azucar;Yogur;Cafe Instantaneo;;;;
Pan;Queso;Leche;Mermelada;Mantequilla;Cafe Instantaneo;;;;;
Mermelada;Pan;Dulce de leche;Azucar;Te en bolsa;Leche;Mantequilla;Pan Molde;;;
Mantequilla;Dulce de leche;Cafe Instantaneo;Leche;Te en bolsa;Jamon;;;;;
Mantequilla;Leche;Pan Molde;Jamon;Azucar;Pan;Mermelada;;;;
Pan;Yogur;;;;;;;;;
Azucar;Mantequilla;Yogur;Pan;;;;;;;
Te en bolsa;Jamon;;;;;;;;;
Yogur;Leche;Queso;Dulce de leche;Pan Molde;Cafe Instantaneo;;;;;
Pan;Azucar;Jamon;Cafe Instantaneo;;;;;;;
Pan;Cafe Instantaneo;Mantequilla;Leche;;;;;;;
Mantequilla;Te en bolsa;;;;;;;;;
Dulce de leche;Mantequilla;Jamon;;;;;;;;
Azucar;Te en bolsa;Leche;Mantequilla;Mermelada;Pan;Cafe Instantaneo;;;;
Azucar;Mermelada;Mantequilla;Cafe Instantaneo;Pan Molde;Te en bolsa;;;;;
Te en bolsa;Leche;Yogur;Pan Molde;Dulce de leche;Queso;Mantequilla;Mermelada;Jamon;;
Queso;Leche;Cafe Instantaneo;Jamon;Pan Molde;;;;;;
Cafe Instantaneo;Dulce de leche;Pan Molde;Mantequilla;Leche;Azucar;;;;;
Mermelada;Jamon;Te en bolsa;Mantequilla;;;;;;;
Mantequilla;Te en bolsa;Yogur;Queso;Pan;;;;;;
Te en bolsa;Cafe Instantaneo;Leche;Pan Molde;Mantequilla;;;;;;
Cafe Instantaneo;Jamon;;;;;;;;;
Mermelada;Jamon;Cafe Instantaneo;Dulce de leche;Yogur;Pan;Queso;;;;
Jamon;Queso;Cafe Instantaneo;;;;;;;;
Leche;Pan Molde;Yogur;Cafe Instantaneo;Azucar;Mantequilla;Dulce de leche;Te en bolsa;;;
Yogur;Mantequilla;Mermelada;Leche;;;;;;;
Azucar;Cafe Instantaneo;Pan Molde;Dulce de leche;Te en bolsa;Mantequilla;Yogur;;;;
Dulce de leche;Pan Molde;Cafe Instantaneo;Azucar;Mantequilla;Pan;Te en bolsa;;;;
Jamon;Azucar;Yogur;Mermelada;Cafe Instantaneo;Queso;Leche;;;;
Pan Molde;Jamon;Azucar;Yogur;Pan;;;;;;
Pan;Mermelada;Azucar;Pan Molde;Queso;Cafe Instantaneo;Dulce de leche;Yogur;;;
Mantequilla;Azucar;Pan Molde;Mermelada;Cafe Instantaneo;Yogur;Pan;;;;
Leche;Azucar;Pan;Mantequilla;Dulce de leche;;;;;;
Jamon;Azucar;Te en bolsa;Queso;Leche;Pan Molde;Yogur;;;;
Cafe Instantaneo;Leche;Mermelada;Dulce de leche;;;;;;;
Mantequilla;Pan;Leche;Te en bolsa;Jamon;Queso;Dulce de leche;;;;
Azucar;Mermelada;Pan Molde;;;;;;;;
Queso;Pan;Cafe Instantaneo;Azucar;Dulce de leche;;;;;;
Dulce de leche;Queso;Pan;Leche;Mermelada;Azucar;;;;;
Mantequilla;Pan Molde;Mermelada;Jamon;Cafe Instantaneo;Pan;;;;;
Dulce de leche;Cafe Instantaneo;Mantequilla;Yogur;Pan;;;;;;
Te en bolsa;Jamon;Pan Molde;Mantequilla;Queso;Dulce de leche;Yogur;;;;
Dulce de leche;Pan Molde;Azucar;Cafe Instantaneo;Leche;Jamon;;;;;
Te en bolsa;Jamon;Azucar;Queso;;;;;;;
Queso;Mermelada;Yogur;Te en bolsa;Jamon;Mantequilla;Dulce de leche;Cafe Instantaneo;;;
Pan;Azucar;Pan Molde;Leche;Mermelada;Te en bolsa;Jamon;;;;
Mantequilla;Queso;Dulce de leche;Te en bolsa;Jamon;;;;;;
Pan;Mantequilla;Dulce de leche;Mermelada;Pan Molde;;;;;;
Mermelada;Yogur;Cafe Instantaneo;Dulce de leche;Pan Molde;Azucar;Queso;;;;
Mermelada;Pan Molde;Dulce de leche;Yogur;Leche;Te en bolsa;;;;;
Mantequilla;Pan Molde;Yogur;Dulce de leche;Leche;Azucar;Cafe Instantaneo;Mermelada;;;
Queso;Jamon;Cafe Instantaneo;;;;;;;;
Leche;Te en bolsa;;;;;;;;;
Jamon;Pan;Dulce de leche;Cafe Instantaneo;Te en bolsa;Yogur;Queso;;;;
Te en bolsa;Queso;Mantequilla;Pan Molde;Azucar;Mermelada;Jamon;;;;
Pan;Pan Molde;Azucar;Cafe Instantaneo;;;;;;;
Dulce de leche;Queso;Leche;Pan Molde;Yogur;;;;;;
Leche;Mantequilla;;;;;;;;;
Cafe Instantaneo;Queso;Pan Molde;Jamon;Dulce de leche;;;;;;
Queso;Te en bolsa;Cafe Instantaneo;Leche;;;;;;;
Azucar;Pan Molde;Cafe Instantaneo;;;;;;;;
Te en bolsa;Pan;Mermelada;Jamon;Yogur;Pan Molde;;;;;
Te en bolsa;Leche;Cafe Instantaneo;Mermelada;Mantequilla;Dulce de leche;;;;;
Mermelada;Azucar;;;;;;;;;
Leche;Dulce de leche;Yogur;Te en bolsa;Pan;Queso;Cafe Instantaneo;Mermelada;;;
Azucar;Leche;Cafe Instantaneo;Mermelada;Jamon;Pan;Te en bolsa;Yogur;;;
Azucar;Mermelada;Yogur;Jamon;Mantequilla;Queso;Pan Molde;Leche;;;
Azucar;Cafe Instantaneo;Jamon;Dulce de leche;Mermelada;Pan;Queso;;;;
Mantequilla;Te en bolsa;Dulce de leche;Azucar;Mermelada;Jamon;Cafe Instantaneo;;;;
Yogur;Mermelada;Mantequilla;Leche;Te en bolsa;;;;;;
Yogur;Azucar;Mermelada;Pan Molde;;;;;;;
Azucar;Cafe Instantaneo;Jamon;Pan Molde;Queso;Te en bolsa;;;;;
Queso;Pan;Yogur;;;;;;;;
Azucar;Te en bolsa;;;;;;;;;
Te en bolsa;Pan Molde;Queso;Pan;;;;;;;
Yogur;Leche;Cafe Instantaneo;Mantequilla;Pan;Azucar;;;;;
Jamon;Leche;;;;;;;;;
Dulce de leche;Mantequilla;;;;;;;;;
Te en bolsa;Dulce de leche;Leche;Pan Molde;Queso;Pan;Jamon;Yogur;;;
Mantequilla;Azucar;Te en bolsa;Dulce de leche;Pan;;;;;;
Dulce de leche;Queso;Yogur;Pan Molde;Jamon;Te en bolsa;Mantequilla;;;;
Leche;Cafe Instantaneo;;;;;;;;;
Yogur;Leche;Mermelada;Te en bolsa;Azucar;Dulce de leche;;;;;
Jamon;Dulce de leche;Azucar;Mantequilla;Leche;Queso;;;;;
Leche;Te en bolsa;Yogur;Jamon;Queso;Pan;;;;;
Yogur;Pan;;;;;;;;;
Leche;Yogur;Queso;Mantequilla;Te en bolsa;Jamon;Azucar;;;;
Dulce de leche;Te en bolsa;Yogur;Pan;Jamon;;;;;;
Cafe Instantaneo;Jamon;Azucar;Pan;;;;;;;
Jamon;Pan Molde;Queso;Dulce de leche;;;;;;;
Dulce de leche;Azucar;Cafe Instantaneo;Leche;Mantequilla;;;;;;
Queso;Yogur;Pan;Mermelada;Mantequilla;;;;;;
Pan;Queso;Cafe Instantaneo;Mermelada;Leche;;;;;;
Cafe Instantaneo;Queso;;;;;;;;;
Jamon;Dulce de leche;Yogur;Leche;Mermelada;Cafe Instantaneo;Pan;;;;
Mermelada;Te en bolsa;Jamon;Pan;;;;;;;
Mermelada;Mantequilla;Queso;;;;;;;;
Yogur;Te en bolsa;Azucar;Cafe Instantaneo;Mermelada;Mantequilla;Queso;Pan;;;
Pan Molde;Mermelada;Yogur;Azucar;Te en bolsa;Pan;;;;;
Azucar;Te en bolsa;Jamon;Mantequilla;Queso;Yogur;;;;;
Leche;Azucar;;;;;;;;;
Mantequilla;Pan;Jamon;Leche;Queso;;;;;;
Pan Molde;Azucar;;;;;;;;;
Pan;Cafe Instantaneo;Queso;Jamon;Mantequilla;;;;;;
Yogur;Cafe Instantaneo;Dulce de leche;Jamon;Pan Molde;;;;;;
Mantequilla;Pan Molde;Mermelada;Pan;Cafe Instantaneo;Leche;Dulce de leche;Azucar;;;
Dulce de leche;Leche;Cafe Instantaneo;Azucar;Te en bolsa;;;;;;
Azucar;Cafe Instantaneo;Jamon;Mermelada;Leche;Mantequilla;;;;;
Pan Molde;Azucar;Te en bolsa;Dulce de leche;;;;;;;
Pan Molde;Leche;Jamon;Queso;Mermelada;;;;;;
Dulce de leche;Azucar;Jamon;Yogur;Mantequilla;Pan;;;;;
Azucar;Mermelada;Yogur;Pan;;;;;;;
Azucar;Yogur;Mermelada;Pan Molde;Pan;Mantequilla;Te en bolsa;Jamon;Cafe Instantaneo;;
Mantequilla;Te en bolsa;Yogur;Pan Molde;Dulce de leche;Queso;;;;;
Queso;Jamon;Pan;Dulce de leche;;;;;;;
Pan Molde;Cafe Instantaneo;Mermelada;Pan;Azucar;Te en bolsa;Mantequilla;Leche;;;
Jamon;Cafe Instantaneo;Mantequilla;Pan;Leche;;;;;;
Yogur;Pan Molde;Azucar;Cafe Instantaneo;Mermelada;Mantequilla;Leche;;;;
Te en bolsa;Jamon;Yogur;;;;;;;;
Leche;Pan;;;;;;;;;
Leche;Pan;Te en bolsa;Queso;;;;;;;
Azucar;Yogur;Pan Molde;;;;;;;;
Jamon;Azucar;Cafe Instantaneo;Pan Molde;;;;;;;
Yogur;Cafe Instantaneo;Mermelada;Pan;Leche;;;;;;
Te en bolsa;Mantequilla;;;;;;;;;
Cafe Instantaneo;Jamon;Mermelada;Mantequilla;Te en bolsa;Queso;Dulce de leche;;;;
Mantequilla;Yogur;Te en bolsa;Cafe Instantaneo;;;;;;;
Jamon;Cafe Instantaneo;Azucar;Yogur;Te en bolsa;;;;;;
Pan;Te en bolsa;Jamon;Dulce de leche;Cafe Instantaneo;Pan Molde;;;;;
Leche;Cafe Instantaneo;Queso;Dulce de leche;Pan Molde;Yogur;Pan;Mermelada;Azucar;;
Pan;Cafe Instantaneo;Te en bolsa;Queso;Jamon;Leche;;;;;
Mantequilla;Pan Molde;Dulce de leche;Azucar;Queso;Leche;;;;;
Jamon;Mermelada;Azucar;;;;;;;;
Pan Molde;Mantequilla;;;;;;;;;
Mermelada;Cafe Instantaneo;Leche;Pan;;;;;;;
Pan;Dulce de leche;Azucar;;;;;;;;
Pan;Leche;Yogur;Pan Molde;Azucar;;;;;;
Leche;Queso;Azucar;Jamon;Yogur;Pan Molde;Pan;;;;
Cafe Instantaneo;Yogur;Azucar;Mermelada;Queso;Te en bolsa;Pan;;;;
Jamon;Cafe Instantaneo;Pan;Te en bolsa;;;;;;;
Queso;Pan Molde;Leche;Pan;Cafe Instantaneo;;;;;;
Leche;Pan;Te en bolsa;Cafe Instantaneo;Mantequilla;;;;;;
Queso;Jamon;Dulce de leche;Pan;Cafe Instantaneo;Leche;;;;;
Cafe Instantaneo;Queso;Mantequilla;Pan;Azucar;Te en bolsa;;;;;
Te en bolsa;Queso;Pan;Pan Molde;Dulce de leche;Yogur;;;;;
Pan Molde;Yogur;Cafe Instantaneo;Mermelada;Queso;Azucar;Dulce de leche;;;;
Leche;Pan Molde;Pan;Mantequilla;Mermelada;Queso;;;;;
Yogur;Leche;Cafe Instantaneo;Mantequilla;Te en bolsa;Jamon;Dulce de leche;;;;
Queso;Te en bolsa;;;;;;;;;
Mantequilla;Leche;Cafe Instantaneo;Dulce de leche;Azucar;Yogur;;;;;
Dulce de leche;Jamon;Mermelada;Te en bolsa;Yogur;Mantequilla;;;;;
Pan Molde;Mermelada;Mantequilla;Cafe Instantaneo;Yogur;Azucar;;;;;
Mermelada;Dulce de leche;Queso;Pan Molde;Azucar;Te en bolsa;Pan;Cafe Instantaneo;;;
Mantequilla;Pan Molde;Queso;Leche;Mermelada;;;;;;
Pan Molde;Te en bolsa;Cafe Instantaneo;Yogur;Queso;Dulce de leche;;;;;
Yogur;Pan;Jamon;Cafe Instantaneo;Pan Molde;;;;;;
Jamon;Yogur;Leche;Mantequilla;Cafe Instantaneo;;;;;;
Yogur;Cafe Instantaneo;Pan Molde;Te en bolsa;Mermelada;Leche;;;;;
Cafe Instantaneo;Mantequilla;Te en bolsa;Pan Molde;;;;;;;
Pan Molde;Dulce de leche;Mantequilla;Azucar;Queso;Jamon;Leche;Cafe Instantaneo;Te en bolsa;;
Leche;Queso;Mantequilla;;;;;;;;
Dulce de leche;Queso;Yogur;Leche;Pan;Pan Molde;;;;;
Dulce de leche;Mantequilla;Queso;Leche;Azucar;;;;;;
Queso;Cafe Instantaneo;Dulce de leche;Yogur;Pan;Azucar;;;;;
Leche;Mantequilla;Mermelada;Dulce de leche;Cafe Instantaneo;Yogur;Jamon;Azucar;;;
Mantequilla;Te en bolsa;Jamon;Azucar;;;;;;;
Mermelada;Pan;Azucar;Pan Molde;Jamon;Dulce de leche;Yogur;;;;
Pan;Te en bolsa;Yogur;Leche;Mermelada;Queso;;;;;
Te en bolsa;Jamon;Mermelada;Mantequilla;Pan;Queso;Leche;;;;
Cafe Instantaneo;Jamon;Dulce de leche;Leche;Pan;;;;;;
Pan Molde;Leche;Mermelada;Mantequilla;;;;;;;
Pan;Jamon;Leche;Te en bolsa;Azucar;;;;;;
Cafe Instantaneo;Mermelada;Queso;Pan;Leche;Yogur;Dulce de leche;;;;
Yogur;Mantequilla;Dulce de leche;Cafe Instantaneo;Azucar;Pan Molde;Pan;Te en bolsa;;;
Azucar;Yogur;Mantequilla;;;;;;;;
Te en bolsa;Leche;;;;;;;;;
Pan Molde;Jamon;Pan;Queso;Leche;;;;;;
Pan;Mermelada;Leche;Pan Molde;Mantequilla;Queso;Jamon;Azucar;Dulce de leche;;
Azucar;Pan;Yogur;Dulce de leche;Jamon;Leche;Te en bolsa;Mantequilla;;;
Dulce de leche;Mantequilla;Pan Molde;;;;;;;;
Leche;Queso;Mantequilla;Te en bolsa;Pan;Mermelada;Azucar;Yogur;;;
Queso;Yogur;Mermelada;Pan;Te en bolsa;Leche;Jamon;;;;
Azucar;Leche;Mermelada;;;;;;;;
Mermelada;Leche;Mantequilla;Jamon;Pan Molde;Queso;Cafe Instantaneo;;;;
Yogur;Leche;Jamon;Queso;;;;;;;
Azucar;Cafe Instantaneo;Dulce de leche;;;;;;;;
Dulce de leche;Mantequilla;;;;;;;;;
Leche;Jamon;Mantequilla;;;;;;;;
Dulce de leche;Jamon;Te en bolsa;Mermelada;Yogur;;;;;;
Pan Molde;Mantequilla;;;;;;;;;
Jamon;Pan Molde;Dulce de leche;Te en bolsa;Cafe Instantaneo;Mermelada;Azucar;;;;
Mantequilla;Pan;;;;;;;;;
Cafe Instantaneo;Mermelada;Dulce de leche;Yogur;Mantequilla;Jamon;Te en bolsa;Azucar;Pan Molde;;
Te en bolsa;Mantequilla;Leche;;;;;;;;
Dulce de leche;Pan Molde;Te en bolsa;Azucar;Cafe Instantaneo;Pan;;;;;
Leche;Yogur;Mantequilla;Mermelada;Dulce de leche;Pan;;;;;
Jamon;Queso;Leche;Dulce de leche;Azucar;;;;;;
Cafe Instantaneo;Mermelada;Pan Molde;Queso;Dulce de leche;Yogur;;;;;
Leche;Pan;Mantequilla;Pan Molde;Te en bolsa;Yogur;Jamon;Queso;;;
Leche;Azucar;Mermelada;Jamon;Mantequilla;Dulce de leche;;;;;
Azucar;Te en bolsa;Mermelada;Leche;Cafe Instantaneo;;;;;;
Leche;Jamon;Pan Molde;Yogur;;;;;;;
Pan;Yogur;Dulce de leche;Cafe Instantaneo;Leche;;;;;;
Azucar;Pan;;;;;;;;;
Leche;Pan;Pan Molde;Yogur;Jamon;Te en bolsa;Queso;;;;
Mantequilla;Pan Molde;;;;;;;;;
Pan Molde;Mermelada;Cafe Instantaneo;Jamon;Leche;;;;;;
Pan Molde;Yogur;Mantequilla;Azucar;Queso;Leche;Jamon;Pan;Dulce de leche;;
Pan;Pan Molde;Azucar;Mantequilla;Queso;;;;;;
Dulce de leche;Azucar;;;;;;;;;
Te en bolsa;Pan Molde;Mermelada;Dulce de leche;Leche;Azucar;;;;;
Cafe Instantaneo;Pan Molde;Queso;Mantequilla;Dulce de leche;Jamon;Leche;Mermelada;;;
Yogur;Jamon;Leche;Pan;Queso;Mantequilla;Te en bolsa;;;;
Pan Molde;Mantequilla;Cafe Instantaneo;Leche;Dulce de leche;Pan;;;;;
Queso;Pan;Dulce de leche;Mermelada;Te en bolsa;;;;;;
Jamon;Mantequilla;Cafe Instantaneo;Dulce de leche;Mermelada;Pan Molde;;;;;
Azucar;Queso;Mermelada;Pan;Cafe Instantaneo;Yogur;;;;;
Mermelada;Pan Molde;Te en bolsa;Azucar;;;;;;;
Pan;Mantequilla;Azucar;Pan Molde;Yogur;;;;;;
Pan Molde;Mantequilla;Queso;Azucar;Jamon;Te en bolsa;Yogur;;;;
Mermelada;Azucar;Pan;Cafe Instantaneo;Te en bolsa;Mantequilla;Leche;Dulce de leche;Pan Molde;;
Leche;Pan;Te en bolsa;Azucar;;;;;;;
Cafe Instantaneo;Pan;Leche;Mermelada;Yogur;Azucar;Te en bolsa;Queso;Dulce de leche;;
Pan Molde;Leche;Queso;Dulce de leche;Cafe Instantaneo;;;;;;
Te en bolsa;Pan Molde;;;;;;;;;
Te en bolsa;Dulce de leche;Mantequilla;Azucar;Queso;;;;;;
Jamon;Leche;Yogur;Dulce de leche;Pan Molde;Queso;;;;;
Leche;Pan;Cafe Instantaneo;Mantequilla;Jamon;Queso;Te en bolsa;Azucar;;;
Te en bolsa;Cafe Instantaneo;Leche;Jamon;Yogur;Queso;Dulce de leche;Azucar;Pan;;
Te en bolsa;Queso;Mantequilla;Leche;Dulce de leche;Azucar;;;;;
Queso;Cafe Instantaneo;Pan Molde;Jamon;Pan;;;;;;
Dulce de leche;Pan;Te en bolsa;;;;;;;;
Dulce de leche;Jamon;Mantequilla;Yogur;Pan;Leche;;;;;
Pan;Leche;Mermelada;Pan Molde;Azucar;;;;;;
Cafe Instantaneo;Leche;Pan Molde;Dulce de leche;Te en bolsa;;;;;;
Pan Molde;Queso;Te en bolsa;Jamon;Pan;Azucar;Leche;Cafe Instantaneo;;;
Cafe Instantaneo;Jamon;Queso;Pan;;;;;;;
Yogur;Pan;Dulce de leche;;;;;;;;
Te en bolsa;Jamon;Queso;Pan Molde;Pan;;;;;;
Jamon;Yogur;;;;;;;;;
Queso;Dulce de leche;Pan;;;;;;;;
Te en bolsa;Mermelada;Queso;;;;;;;;
Pan;Leche;;;;;;;;;
Azucar;Mantequilla;Te en bolsa;Dulce de leche;Pan Molde;Leche;;;;;
Mantequilla;Leche;Dulce de leche;Yogur;;;;;;;
Te en bolsa;Dulce de leche;Pan;Queso;Mermelada;;;;;;
Queso;Dulce de leche;Jamon;;;;;;;;
Te en bolsa;Mermelada;Azucar;Pan;Queso;Dulce de leche;Jamon;Mantequilla;;;
Pan Molde;Queso;Jamon;Leche;;;;;;;
Jamon;Azucar;;;;;;;;;
Queso;Mantequilla;;;;;;;;;
Leche;Jamon;Cafe Instantaneo;Mermelada;Dulce de leche;Azucar;Pan Molde;Te en bolsa;;;
Cafe Instantaneo;Pan Molde;;;;;;;;;
Yogur;Te en bolsa;Pan;Jamon;Leche;Mermelada;Mantequilla;Cafe Instantaneo;;;
Te en bolsa;Leche;Cafe Instantaneo;;;;;;;;
Leche;Jamon;Mantequilla;Te en bolsa;Mermelada;Pan;Yogur;Dulce de leche;;;
Azucar;Pan Molde;Jamon;Dulce de leche;Te en bolsa;;;;;;
Cafe Instantaneo;Dulce de leche;Queso;;;;;;;;
Te en bolsa;Azucar;Leche;Dulce de leche;Queso;Mantequilla;Mermelada;Yogur;;;
Dulce de leche;Jamon;Cafe Instantaneo;Queso;Mermelada;Yogur;;;;;
Jamon;Azucar;Te en bolsa;Cafe Instantaneo;;;;;;;
Queso;Pan;Yogur;Dulce de leche;Mantequilla;Jamon;;;;;
Dulce de leche;Mermelada;Azucar;Mantequilla;Pan;Cafe Instantaneo;Yogur;;;;
Pan;Mermelada;Pan Molde;Te en bolsa;;;;;;;
Jamon;Mantequilla;Pan;Queso;Mermelada;Dulce de leche;Yogur;;;;
Dulce de leche;Mantequilla;;;;;;;;;
Mermelada;Cafe Instantaneo;Pan Molde;Queso;Mantequilla;Te en bolsa;Jamon;;;;
Mermelada;Yogur;Azucar;;;;;;;;
Yogur;Pan Molde;Te en bolsa;Dulce de leche;Mermelada;Cafe Instantaneo;;;;;
Queso;Dulce de leche;Jamon;Te en bolsa;Mantequilla;Cafe Instantaneo;Yogur;Pan Molde;Mermelada;;
Jamon;Dulce de leche;Leche;Te en bolsa;Mantequilla;Azucar;Cafe Instantaneo;;;;
Te en bolsa;Azucar;;;;;;;;;
Leche;Pan Molde;Jamon;Mermelada;;;;;;;
Yogur;Leche;;;;;;;;;
Dulce de leche;Mantequilla;Yogur;Leche;Pan Molde;;;;;;
Queso;Cafe Instantaneo;;;;;;;;;
Te en bolsa;Queso;Pan;Pan Molde;Mantequilla;;;;;;
Te en bolsa;Yogur;Mantequilla;Mermelada;Azucar;Cafe Instantaneo;;;;;
Queso;Mermelada;Leche;;;;;;;;
Mantequilla;Leche;Azucar;;;;;;;;
Dulce de leche;Pan Molde;Mantequilla;Leche;Pan;Mermelada;;;;;
Dulce de leche;Pan Molde;Pan;Yogur;Leche;Mantequilla;Mermelada;;;;
Pan;Te en bolsa;;;;;;;;;
Cafe Instantaneo;Queso;Azucar;;;;;;;;
Cafe Instantaneo;Pan Molde;Leche;Mantequilla;Te en bolsa;Jamon;;;;;
Leche;Pan;Pan Molde;Dulce de leche;Cafe Instantaneo;Queso;;;;;
Pan;Mermelada;Queso;Pan Molde;Cafe Instantaneo;Leche;Azucar;;;;
Pan Molde;Yogur;Mantequilla;Jamon;Azucar;Pan;;;;;
Cafe Instantaneo;Dulce de leche;Pan Molde;Pan;Jamon;Te en bolsa;Mantequilla;Leche;;;
Pan Molde;Dulce de leche;Cafe Instantaneo;Te en bolsa;;;;;;;
Queso;Dulce de leche;Cafe Instantaneo;Leche;Yogur;Azucar;Jamon;Te en bolsa;Mantequilla;;
Leche;Azucar;;;;;;;;;
Mantequilla;Queso;Pan;Cafe Instantaneo;Dulce de leche;Mermelada;Leche;;;;
Cafe Instantaneo;Queso;;;;;;;;;
Pan Molde;Te en bolsa;Azucar;;;;;;;;
Leche;Jamon;;;;;;;;;
Jamon;Mermelada;Pan;Cafe Instantaneo;Yogur;Pan Molde;;;;;
Leche;Azucar;Mermelada;Mantequilla;Te en bolsa;Pan Molde;Cafe Instantaneo;;;;
Cafe Instantaneo;Queso;Te en bolsa;;;;;;;;
Cafe Instantaneo;Mantequilla;Pan Molde;Yogur;Azucar;Te en bolsa;Dulce de leche;Queso;;;
Pan Molde;Te en bolsa;Pan;Cafe Instantaneo;Dulce de leche;Azucar;;;;;
Azucar;Cafe Instantaneo;Yogur;Pan Molde;Te en bolsa;;;;;;
Te en bolsa;Mantequilla;;;;;;;;;
Te en bolsa;Yogur;;;;;;;;;
Dulce de leche;Queso;Pan Molde;Leche;;;;;;;
Dulce de leche;Mantequilla;Leche;Jamon;Pan;;;;;;
Cafe Instantaneo;Leche;;;;;;;;;
Jamon;Azucar;Mermelada;Leche;Dulce de leche;Te en bolsa;Mantequilla;Pan;Queso;;
Yogur;Mantequilla;Azucar;Jamon;Pan;Cafe Instantaneo;;;;;
Cafe Instantaneo;Leche;Jamon;Yogur;;;;;;;
Cafe Instantaneo;Dulce de leche;Te en bolsa;Queso;Mantequilla;Leche;;;;;
Azucar;Pan;Queso;Te en bolsa;Yogur;Dulce de leche;Mermelada;Pan Molde;;;
Yogur;Pan Molde;;;;;;;;;
Yogur;Azucar;Pan Molde;Pan;Dulce de leche;Te en bolsa;;;;;
Yogur;Jamon;Cafe Instantaneo;Pan;Azucar;Leche;;;;;
Mermelada;Pan;Queso;Azucar;Te en bolsa;Jamon;Pan Molde;Cafe Instantaneo;;;
Cafe Instantaneo;Yogur;;;;;;;;;
Queso;Pan Molde;Mantequilla;Pan;Azucar;Cafe Instantaneo;Mermelada;Leche;;;
Queso;Dulce de leche;Pan Molde;Jamon;;;;;;;
Mantequilla;Azucar;;;;;;;;;
Dulce de leche;Cafe Instantaneo;Pan Molde;Jamon;Yogur;;;;;;
Mantequilla;Pan;Queso;Yogur;Te en bolsa;Azucar;Mermelada;Cafe Instantaneo;;;
Mantequilla;Cafe Instantaneo;;;;;;;;;
Jamon;Cafe Instantaneo;Yogur;Pan;Mermelada;Leche;Pan Molde;;;;
Dulce de leche;Mantequilla;Mermelada;Yogur;Pan Molde;Azucar;;;;;
Leche;Mantequilla;;;;;;;;;
Queso;Pan;Cafe Instantaneo;Te en bolsa;Azucar;Mermelada;Dulce de leche;;;;
Pan;Dulce de leche;Mantequilla;Te en bolsa;Pan Molde;;;;;;
Queso;Azucar;Leche;Mantequilla;Te en bolsa;Dulce de leche;Jamon;;;;
Mermelada;Pan;Jamon;Leche;;;;;;;
Azucar;Jamon;Te en bolsa;Mermelada;;;;;;;
